entity_alias_readable	Decayed	Sweet	Woody	Medicinal	Sulfidic	Fruity	Smoky	Uncategorised	Floral	Citrus	Mint
520	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
521	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
522	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
523	0.23	0.25	0.14	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
524	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
525	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
526	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
527	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
528	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
529	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
530	0.26	0.25	0.13	0.19	0.18	0.11	0.18	0.25	0.26	0.13	0.18
531	0.26	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
532	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
533	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
534	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
535	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
536	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
537	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
538	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
539	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
540	0.32	0.27	0.21	0.23	0.18	0.12	0.18	0.27	0.26	0.17	0.24
541	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
542	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
543	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
544	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
545	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
546	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
547	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
548	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
549	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
550	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
551	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
552	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
553	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
554	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
555	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
556	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
557	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
558	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
559	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
560	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
561	0.32	0.28	0.17	0.25	0.21	0.14	0.2	0.29	0.33	0.16	0.19
562	0.1	0.28	0.17	0.25	0.21	0.14	0.2	0.01	0.33	0.16	0.19
563	0.1	0.28	0.17	0.25	0.21	0.14	0.2	0.01	0.33	0.16	0.19
564	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
565	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
566	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
567	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
568	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
569	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
570	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
571	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
572	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
573	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
574	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
575	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
576	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
577	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
578	0.23	0.26	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
579	0.23	0.26	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
580	0.1	0.26	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
581	0.1	0.26	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
582	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
583	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
584	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
585	0.23	0.25	0.14	0.19	0.18	0.13	0.18	0.24	0.26	0.13	0.18
586	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
587	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
588	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
589	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
590	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
591	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
592	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
593	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
594	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
595	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
596	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
597	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
598	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
600	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
601	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
602	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
603	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
604	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
606	0.26	0.26	0.15	0.21	0.2	0.13	0.2	0.25	0.28	0.14	0.2
607	0.1	0.26	0.15	0.21	0.2	0.13	0.2	0.01	0.28	0.14	0.2
608	0.1	0.26	0.15	0.21	0.2	0.13	0.2	0.01	0.28	0.14	0.2
609	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
610	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
611	0.23	0.26	0.14	0.19	0.18	0.12	0.19	0.24	0.28	0.16	0.21
612	0.42	0.26	0.13	0.19	0.2	0.12	0.18	0.25	0.26	0.13	0.18
613	0.23	0.25	0.14	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
614	0.23	0.25	0.14	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
615	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
616	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
617	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
618	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
619	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
620	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
621	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
622	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
623	0.26	0.33	0.22	0.21	0.2	0.14	0.26	0.29	0.32	0.26	0.36
624	0.06	0.33	0.22	0.21	0.2	0.14	0.26	0.01	0.32	0.26	0.36
625	0.06	0.33	0.22	0.21	0.2	0.14	0.26	0.0	0.32	0.26	0.36
626	0.06	0.33	0.22	0.21	0.2	0.14	0.26	0.01	0.32	0.26	0.36
627	0.06	0.33	0.22	0.21	0.2	0.14	0.26	0.01	0.32	0.26	0.36
628	0.06	0.33	0.22	0.21	0.2	0.14	0.26	0.01	0.32	0.26	0.36
629	0.06	0.33	0.22	0.21	0.2	0.14	0.26	0.01	0.32	0.26	0.36
630	0.06	0.33	0.22	0.21	0.2	0.14	0.26	0.01	0.32	0.26	0.36
631	0.06	0.33	0.22	0.21	0.2	0.14	0.26	0.01	0.32	0.26	0.36
632	0.23	0.26	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
633	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
634	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
635	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
636	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
637	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
638	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
639	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
640	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
641	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
642	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
643	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
644	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
645	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
646	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
647	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
648	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
649	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
650	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
651	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
652	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
653	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
654	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
655	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
656	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
657	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
658	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
659	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
660	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
661	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
662	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
663	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
664	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
665	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
667	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
668	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
669	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
670	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
671	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
672	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
673	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
674	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
675	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
676	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
677	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
678	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
679	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
680	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
682	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
683	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
684	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
685	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
686	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
687	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
688	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
690	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
691	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
693	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
694	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
695	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
696	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
697	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
698	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
699	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
700	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
701	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
702	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
703	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
704	0.29	0.25	0.17	0.21	0.27	0.12	0.2	0.28	0.28	0.16	0.18
705	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
706	0.23	0.25	0.13	0.19	0.18	0.12	0.18	0.24	0.29	0.14	0.18
707	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
708	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
709	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
710	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
711	0.29	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
712	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
713	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
714	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
715	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
716	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
717	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
718	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
719	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
720	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
721	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
722	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
723	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
724	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
725	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
726	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
727	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
728	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
729	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
730	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
731	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
732	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
733	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
734	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
735	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
736	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
737	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
738	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
739	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
740	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
741	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.23	0.26	0.13	0.18
742	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
743	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
744	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
745	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
746	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
747	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
748	0.03	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
749	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
750	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
751	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
752	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
753	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
754	0.32	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
755	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
756	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
757	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
758	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.24	0.26	0.13	0.18
759	0.23	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
762	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
763	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
764	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
765	0.03	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
766	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
767	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
768	0.06	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
769	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
770	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
771	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
772	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
773	0.03	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
774	0.03	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
775	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
776	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
777	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
778	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
780	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
781	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
782	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
783	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
784	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
785	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
786	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
787	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
788	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
789	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
790	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
791	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
792	0.03	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
793	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
794	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
795	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
796	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
799	0.03	0.25	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
800	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
803	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
805	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
806	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
807	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
810	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
814	0.1	0.25	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
815	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.02	0.26	0.13	0.18
817	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.03	0.26	0.13	0.18
818	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.04	0.26	0.13	0.18
820	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
821	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
822	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.02	0.26	0.13	0.18
823	0.1	0.03	0.13	0.19	0.18	0.11	0.18	0.02	0.26	0.13	0.18
824	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
825	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
826	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
827	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
828	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
829	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
830	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
831	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
832	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
833	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
834	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
835	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
836	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
837	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
839	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
840	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
841	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
842	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.01	0.26	0.13	0.18
843	0.06	0.03	0.13	0.19	0.18	0.11	0.18	0.0	0.26	0.13	0.18
