entity_alias_readable	Decayed	Sweet	Woody	Medicinal	Sulfidic	Fruity	Smoky	Uncategorised	Floral	Citrus	Mint
289	0.61	0.62	0.53	0.79	0.45	0.33	0.72	0.59	0.44	0.39	0.27
290	0.61	0.01	0.01	0.79	0.03	0.02	0.01	0.01	0.44	0.03	0.27
291	0.13	0.07	0.01	0.02	0.03	0.01	0.04	0.04	0.44	0.03	0.27
292	0.06	0.34	0.28	0.44	0.21	0.13	0.56	0.3	0.1	0.14	0.07
293	0.32	0.27	0.13	0.19	0.18	0.12	0.2	0.27	0.26	0.13	0.18
294	0.29	0.3	0.18	0.23	0.27	0.12	0.28	0.3	0.29	0.16	0.2
295	0.03	0.0	0.01	0.08	0.27	0.01	0.01	0.03	0.04	0.01	0.2
296	0.55	0.42	0.32	0.38	0.32	0.16	0.39	0.4	0.33	0.25	0.21
297	0.35	0.31	0.23	0.37	0.23	0.14	0.26	0.33	0.3	0.19	0.25
298	0.35	0.31	0.23	0.37	0.23	0.14	0.26	0.33	0.3	0.19	0.25
299	0.42	0.37	0.24	0.33	0.25	0.15	0.41	0.34	0.3	0.17	0.19
300	0.42	0.37	0.02	0.33	0.13	0.0	0.01	0.01	0.01	0.01	0.19
301	0.42	0.02	0.0	0.33	0.13	0.01	0.01	0.01	0.01	0.01	0.01
302	0.06	0.01	0.0	0.02	0.13	0.03	0.01	0.01	0.01	0.01	0.02
303	0.35	0.3	0.13	0.21	0.21	0.12	0.21	0.26	0.28	0.13	0.19
304	0.23	0.01	0.04	0.04	0.07	0.06	0.04	0.05	0.03	0.01	0.19
305	0.58	0.47	0.55	0.54	0.31	0.26	0.25	0.45	0.42	0.55	0.63
306	0.58	0.09	0.12	0.08	0.31	0.07	0.01	0.07	0.12	0.16	0.14
307	0.35	0.42	0.28	0.46	0.31	0.38	0.3	0.42	0.41	0.25	0.24
308	0.35	0.33	0.2	0.27	0.21	0.13	0.2	0.3	0.27	0.25	0.31
309	0.35	0.03	0.03	0.02	0.03	0.02	0.01	0.01	0.06	0.03	0.04
310	0.97	1.0	1.0	1.0	0.68	0.6	1.0	1.0	1.0	0.81	0.69
311	0.97	0.03	0.02	0.02	0.03	0.6	0.01	0.01	0.01	0.81	0.01
312	0.42	0.12	0.16	0.06	0.08	0.06	0.19	0.13	0.2	0.03	0.07
313	0.35	0.26	0.16	0.21	0.24	0.12	0.22	0.28	0.29	0.14	0.19
314	0.03	0.03	0.01	0.02	0.01	0.0	0.01	0.01	0.02	0.14	0.01
315	0.35	0.19	0.11	0.38	0.1	0.27	0.1	0.14	0.19	0.07	0.05
316	0.35	0.19	0.11	0.38	0.1	0.27	0.1	0.01	0.19	0.07	0.05
317	0.35	0.19	0.11	0.38	0.04	0.27	0.1	0.0	0.19	0.07	0.05
318	0.03	0.01	0.03	0.02	0.03	0.01	0.06	0.03	0.01	0.01	0.01
319	0.1	0.03	0.04	0.1	0.03	0.03	0.17	0.08	0.04	0.07	0.01
320	0.32	0.26	0.13	0.19	0.2	0.11	0.18	0.25	0.26	0.13	0.18
321	0.32	0.26	0.13	0.19	0.2	0.11	0.18	0.25	0.26	0.13	0.18
322	0.39	0.14	0.06	0.33	0.18	0.1	0.07	0.11	0.08	0.13	0.18
323	0.26	0.42	0.33	0.46	0.24	0.15	0.2	0.33	0.41	0.35	0.48
324	0.26	0.01	0.05	0.06	0.24	0.01	0.01	0.02	0.01	0.35	0.04
325	0.23	0.42	0.38	0.44	0.2	0.14	0.2	0.33	0.41	0.49	0.57
326	0.23	0.02	0.06	0.06	0.2	0.0	0.05	0.05	0.01	0.1	0.15
327	0.39	0.37	0.42	0.52	0.24	0.19	0.36	0.43	0.57	0.64	0.49
328	0.42	0.4	0.33	0.44	0.25	0.15	0.26	0.38	0.38	0.35	0.39
329	0.61	0.51	0.54	0.58	0.37	0.25	0.38	0.48	0.51	0.67	0.64
330	0.32	0.5	0.5	0.48	0.23	0.18	0.28	0.42	0.52	0.48	0.6
331	0.29	0.44	0.49	0.46	0.28	0.22	0.31	0.43	0.39	0.33	0.4
332	0.23	0.38	0.39	0.48	0.24	0.15	0.24	0.34	0.33	0.39	0.52
333	0.35	0.52	0.81	0.73	0.3	0.24	0.44	0.62	0.65	0.87	0.7
334	0.03	0.08	0.09	0.12	0.01	0.02	0.03	0.06	0.08	0.16	0.11
335	0.39	0.42	0.5	0.5	0.21	0.18	0.3	0.4	0.38	0.54	0.64
336	0.39	0.43	0.45	0.44	0.27	0.17	0.25	0.38	0.42	0.55	0.57
337	0.32	0.41	0.63	0.48	0.2	0.2	0.29	0.4	0.42	0.61	0.56
338	0.35	0.37	0.44	0.52	0.28	0.16	0.25	0.38	0.36	0.49	0.42
339	0.48	0.53	0.65	0.58	0.25	0.26	0.25	0.46	0.57	0.71	0.75
340	0.23	0.31	0.28	0.38	0.2	0.13	0.25	0.32	0.34	0.39	0.32
341	0.23	0.31	0.31	0.37	0.23	0.13	0.22	0.32	0.32	0.41	0.36
342	0.39	0.44	0.36	0.73	0.44	0.23	0.54	0.5	0.47	0.3	0.21
343	0.32	0.27	0.22	0.25	0.52	0.13	0.23	0.3	0.29	0.16	0.19
344	0.35	0.29	0.18	0.37	0.21	0.16	0.26	0.33	0.31	0.16	0.19
345	0.42	0.31	0.25	0.33	0.46	0.17	0.28	0.33	0.32	0.19	0.18
346	0.42	0.35	0.23	0.33	0.23	0.25	0.26	0.36	0.35	0.19	0.23
347	0.32	0.34	0.19	0.29	0.27	0.15	0.28	0.3	0.29	0.14	0.26
