		Uncategorised	Meaty	 Nutty	Medicinal	Chocolate	Wood	Spice	Herbaceous	 Berry	Dairy	Green	Roasted	Petrol	Floral	Caramel	Sulphur	 Tree fruit	Tropical	Marine	Earthy	Fruit like	Melon	Sour	 Citrus	Phenol	Pungent	Toasted	Smoke	Savory
98	Cajeput	0.03	0.03	0.0	0.27	0.07	0.01	0.06	0.02	0.01	0.0	0.0	0.0	0.2	0.01	0.01	0.0	0.04	0.02	0.06	0.01	0.08	0.12	0.0	0.02	0.0	0.04	0.09	0.0	0.0
99	Camphor	0.04	0.0	0.0	0.0	0.0	0.03	0.12	0.0	0.01	0.0	0.04	0.0	0.2	0.02	0.03	0.0	0.04	0.0	0.06	0.03	0.08	0.12	0.0	0.02	0.0	0.09	0.09	0.06	0.0
100	Cascarilla	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.02	0.03	0.0	0.04	0.0	0.06	0.03	0.08	0.12	0.0	0.0	0.0	0.09	0.09	0.06	0.0
101	Cedar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.02	0.03	0.0	0.04	0.0	0.06	0.03	0.08	0.12	0.0	0.0	0.0	0.09	0.09	0.06	0.0
102	Chamomile	0.44	0.03	0.27	0.24	0.26	0.54	0.45	0.41	0.41	0.23	0.37	0.04	0.4	0.35	0.49	0.07	0.35	0.29	0.17	0.2	0.08	0.41	0.29	0.38	0.18	0.53	0.0	0.0	0.0
103	Citronella	0.09	0.0	0.04	0.24	0.04	0.0	0.14	0.0	0.06	0.06	0.08	0.0	0.4	0.15	0.1	0.07	0.09	0.07	0.17	0.01	0.08	0.41	0.0	0.12	0.18	0.04	0.0	0.0	0.0
104	Citrus Peel Oil	0.2	0.0	0.06	0.2	0.04	0.26	0.1	0.18	0.11	0.0	0.27	0.01	0.2	0.2	0.16	0.07	0.12	0.13	0.0	0.09	0.0	0.0	0.0	0.37	0.06	0.04	0.0	0.0	0.0
105	Eucalyptus	0.13	0.03	0.02	0.2	0.04	0.22	0.08	0.21	0.08	0.0	0.09	0.01	0.2	0.11	0.08	0.07	0.09	0.07	0.0	0.06	0.0	0.0	0.07	0.13	0.03	0.16	0.0	0.0	0.0
106	Fir	0.01	0.03	0.02	0.2	0.04	0.01	0.02	0.0	0.08	0.0	0.09	0.01	0.2	0.11	0.0	0.07	0.09	0.07	0.0	0.06	0.0	0.0	0.07	0.13	0.03	0.0	0.0	0.0	0.0
107	Geranium	0.06	0.0	0.0	0.07	0.04	0.02	0.02	0.03	0.03	0.03	0.12	0.01	0.0	0.13	0.03	0.04	0.03	0.01	0.0	0.04	0.08	0.0	0.0	0.0	0.03	0.07	0.0	0.0	0.0
108	Grapefruit Peel Oil	0.02	0.0	0.0	0.01	0.04	0.03	0.02	0.05	0.01	0.0	0.03	0.01	0.0	0.05	0.0	0.01	0.01	0.02	0.0	0.07	0.08	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.0
109	Grass	0.01	0.0	0.0	0.03	0.04	0.03	0.02	0.05	0.01	0.0	0.0	0.01	0.0	0.05	0.0	0.01	0.01	0.02	0.0	0.0	0.08	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.0
110	Hops Oil	0.32	0.13	0.12	0.09	0.0	0.24	0.14	0.28	0.27	0.29	0.42	0.01	0.4	0.31	0.22	0.17	0.17	0.31	0.28	0.4	0.25	0.12	0.36	0.3	0.06	0.24	0.0	0.0	0.0
111	Hyacinth	0.05	0.13	0.02	0.0	0.0	0.0	0.08	0.05	0.03	0.29	0.03	0.01	0.4	0.05	0.06	0.17	0.09	0.04	0.28	0.4	0.25	0.0	0.36	0.01	0.0	0.02	0.0	0.0	0.0
112	Hyssop Oil	0.4	0.05	0.27	0.37	0.19	0.66	0.55	0.49	0.13	0.13	0.34	0.04	0.4	0.38	0.4	0.07	0.16	0.11	0.28	0.24	0.0	0.12	0.21	0.48	0.18	0.36	0.0	0.0	0.0
113	Lemon Grass	0.32	0.08	0.25	0.2	0.15	0.22	0.24	0.18	0.14	0.03	0.29	0.04	0.0	0.4	0.32	0.07	0.14	0.1	0.17	0.19	0.0	0.06	0.36	0.36	0.15	0.27	0.0	0.0	0.0
114	Lemon Peel Oil	0.09	0.03	0.25	0.14	0.15	0.1	0.02	0.11	0.06	0.06	0.09	0.04	0.0	0.11	0.06	0.07	0.04	0.01	0.11	0.1	0.0	0.12	0.36	0.2	0.06	0.09	0.0	0.06	0.0
115	Lime Peel Oil	0.04	0.0	0.0	0.07	0.15	0.13	0.08	0.05	0.02	0.06	0.05	0.04	0.0	0.01	0.05	0.07	0.02	0.01	0.11	0.03	0.0	0.18	0.36	0.08	0.0	0.02	0.0	0.06	0.0
116	Lovage	0.42	0.05	0.31	0.36	0.19	0.43	0.47	0.51	0.19	0.06	0.41	0.05	0.6	0.38	0.38	0.07	0.27	0.17	0.22	0.21	0.0	0.06	0.29	0.52	0.18	0.42	0.0	0.0	0.0
117	Mandarin Orange Peel Oil	0.05	0.0	0.0	0.03	0.19	0.03	0.47	0.1	0.03	0.0	0.05	0.0	0.6	0.06	0.05	0.07	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.09	0.03	0.04	0.0	0.0	0.0
118	Mastic Gum	0.17	0.0	0.02	0.19	0.0	0.22	0.18	0.18	0.1	0.06	0.18	0.0	0.0	0.11	0.15	0.07	0.19	0.14	0.06	0.1	0.0	0.0	0.0	0.24	0.03	0.09	0.0	0.0	0.0
119	Mentha Oil	0.1	0.0	0.02	0.36	0.0	0.08	0.08	0.2	0.04	0.03	0.1	0.0	0.0	0.13	0.09	0.07	0.08	0.04	0.06	0.09	0.0	0.0	0.07	0.21	0.09	0.09	0.0	0.0	0.0
120	Myrrh	0.01	0.0	0.02	0.0	0.0	0.08	0.08	0.0	0.0	0.03	0.0	0.0	0.0	0.02	0.01	0.07	0.08	0.04	0.06	0.09	0.0	0.0	0.07	0.01	0.09	0.09	0.0	0.0	0.0
121	Neroli Oil	0.05	0.0	0.04	0.01	0.0	0.05	0.0	0.0	0.03	0.03	0.02	0.0	0.0	0.15	0.05	0.07	0.01	0.04	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.09	0.0	0.0	0.0
122	Orange Oil	0.08	0.0	0.02	0.09	0.0	0.09	0.1	0.13	0.1	0.03	0.09	0.0	0.0	0.14	0.08	0.01	0.06	0.08	0.11	0.11	0.0	0.18	0.0	0.19	0.15	0.07	0.0	0.06	0.0
123	Orris	0.04	0.0	0.0	0.09	0.0	0.0	0.1	0.13	0.02	0.0	0.02	0.0	0.0	0.05	0.03	0.01	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.07	0.15	0.0	0.0	0.06	0.0
124	Clary Sage	0.15	0.03	0.04	0.09	0.15	0.13	0.06	0.18	0.09	0.06	0.13	0.03	0.0	0.22	0.08	0.01	0.06	0.0	0.11	0.13	0.0	0.0	0.0	0.3	0.03	0.13	0.0	0.06	0.0
125	Red Sage	0.02	0.03	0.02	0.01	0.0	0.13	0.0	0.0	0.01	0.03	0.04	0.03	0.0	0.04	0.02	0.01	0.0	0.0	0.11	0.13	0.0	0.0	0.0	0.01	0.03	0.0	0.0	0.06	0.0
126	Spanish Sage	0.02	0.03	0.02	0.01	0.0	0.05	0.0	0.02	0.01	0.03	0.01	0.03	0.0	0.05	0.03	0.01	0.02	0.0	0.11	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.06	0.0
127	Sandalwood	0.0	0.03	0.0	0.01	0.0	0.0	0.0	0.02	0.01	0.03	0.01	0.03	0.0	0.05	0.01	0.01	0.02	0.0	0.11	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.06	0.0
128	Sea Buckthorns	0.27	0.03	0.23	0.13	0.15	0.05	0.16	0.08	0.16	0.06	0.25	0.04	0.0	0.28	0.31	0.07	0.18	0.18	0.17	0.13	0.0	0.06	0.21	0.16	0.15	0.22	0.0	0.06	0.0
129	Sweet Grass	0.05	0.03	0.02	0.11	0.0	0.04	0.16	0.05	0.02	0.06	0.05	0.04	0.0	0.04	0.04	0.07	0.02	0.02	0.0	0.13	0.0	0.0	0.21	0.06	0.03	0.0	0.0	0.06	0.0
130	Valerian	0.02	0.0	0.02	0.03	0.0	0.03	0.02	0.02	0.01	0.0	0.01	0.04	0.0	0.01	0.01	0.07	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.06	0.03	0.0	0.0	0.06	0.0
131	Wattle	0.03	0.0	0.0	0.04	0.0	0.04	0.1	0.0	0.02	0.0	0.02	0.04	0.0	0.08	0.03	0.07	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.06	0.03	0.02	0.0	0.0	0.0
132	Yarrow	0.0	0.0	0.0	0.0	0.0	0.01	0.1	0.0	0.02	0.0	0.02	0.04	0.0	0.08	0.0	0.07	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.03	0.02	0.0	0.0	0.0
133	Ylang-Ylang	0.08	0.03	0.06	0.09	0.0	0.03	0.1	0.05	0.04	0.0	0.02	0.04	0.0	0.16	0.06	0.07	0.06	0.01	0.0	0.0	0.0	0.0	0.0	0.1	0.15	0.0	0.0	0.06	0.0
134	Clam	0.21	0.16	0.4	0.09	0.3	0.09	0.06	0.08	0.08	0.32	0.21	0.19	0.2	0.16	0.16	0.1	0.1	0.04	0.33	0.33	0.17	0.0	0.14	0.17	0.15	0.16	0.18	0.0	0.0
135	Crab	0.13	0.08	0.08	0.0	0.11	0.05	0.06	0.07	0.06	0.1	0.1	0.05	0.8	0.09	0.03	0.09	0.0	0.05	0.28	0.19	0.08	0.0	0.21	0.06	0.09	0.04	0.18	0.0	0.0
136	Crayfish	0.11	0.05	0.13	0.06	0.15	0.1	0.02	0.08	0.04	0.06	0.09	0.08	0.2	0.07	0.04	0.01	0.0	0.02	0.11	0.2	0.08	0.0	0.21	0.09	0.06	0.04	0.0	0.0	0.0
137	Kelp	0.27	0.08	0.25	0.14	0.15	0.05	0.16	0.1	0.11	0.0	0.26	0.05	0.2	0.28	0.25	0.09	0.12	0.07	0.22	0.19	0.0	0.18	0.21	0.18	0.12	0.24	0.0	0.0	0.0
138	Krill	0.07	0.08	0.08	0.14	0.07	0.03	0.16	0.05	0.04	0.0	0.09	0.04	0.2	0.02	0.03	0.11	0.0	0.07	0.33	0.27	0.17	0.18	0.21	0.01	0.03	0.07	0.0	0.06	0.0
139	Lobster	0.01	0.08	0.08	0.14	0.07	0.03	0.16	0.05	0.04	0.0	0.02	0.04	0.2	0.02	0.03	0.03	0.0	0.07	0.33	0.0	0.17	0.18	0.07	0.02	0.03	0.0	0.0	0.06	0.0
140	Mollusc	0.06	0.0	0.08	0.14	0.07	0.03	0.16	0.0	0.06	0.06	0.03	0.0	0.2	0.02	0.02	0.03	0.02	0.07	0.33	0.01	0.17	0.0	0.29	0.0	0.03	0.04	0.0	0.06	0.0
141	Oyster	0.08	0.03	0.02	0.0	0.0	0.01	0.04	0.02	0.07	0.16	0.11	0.01	0.0	0.05	0.03	0.1	0.0	0.04	0.22	0.14	0.17	0.0	0.14	0.13	0.0	0.16	0.0	0.06	0.0
142	Prawn	0.0	0.03	0.02	0.0	0.0	0.01	0.04	0.02	0.07	0.16	0.0	0.01	0.0	0.05	0.03	0.03	0.0	0.04	0.22	0.0	0.17	0.0	0.14	0.13	0.0	0.0	0.0	0.06	0.0
143	Scallop	0.14	0.08	0.23	0.0	0.26	0.0	0.04	0.02	0.06	0.23	0.1	0.15	0.0	0.05	0.05	0.04	0.01	0.05	0.44	0.19	0.17	0.0	0.36	0.07	0.0	0.13	0.09	0.0	0.0
144	Shellfish	0.0	0.0	0.23	0.0	0.26	0.0	0.04	0.02	0.06	0.23	0.1	0.15	0.0	0.05	0.05	0.03	0.01	0.05	0.0	0.19	0.17	0.0	0.36	0.07	0.0	0.13	0.09	0.0	0.0
145	Shrimp	0.23	0.29	0.33	0.06	0.26	0.1	0.08	0.07	0.14	0.39	0.2	0.22	0.4	0.11	0.15	0.19	0.02	0.08	0.61	0.44	0.42	0.0	0.21	0.13	0.15	0.2	0.09	0.06	0.0
146	Trassi	0.09	0.08	0.12	0.01	0.15	0.02	0.02	0.1	0.05	0.06	0.08	0.07	0.6	0.05	0.06	0.1	0.0	0.02	0.06	0.16	0.17	0.0	0.07	0.07	0.06	0.07	0.09	0.06	0.0
147	Squid	0.07	0.13	0.17	0.01	0.15	0.01	0.02	0.02	0.01	0.03	0.03	0.1	0.0	0.03	0.01	0.07	0.0	0.01	0.28	0.09	0.17	0.0	0.0	0.01	0.09	0.04	0.0	0.0	0.0
148	Bonito	0.15	0.13	0.17	0.16	0.19	0.08	0.2	0.13	0.04	0.1	0.12	0.04	0.2	0.07	0.17	0.06	0.02	0.01	0.22	0.26	0.17	0.0	0.0	0.04	0.44	0.13	0.0	0.28	0.0
149	Caviar	0.08	0.05	0.08	0.16	0.0	0.02	0.02	0.05	0.06	0.0	0.12	0.04	0.0	0.04	0.04	0.06	0.01	0.02	0.33	0.06	0.08	0.12	0.0	0.07	0.44	0.16	0.0	0.28	0.0
150	Codfish	0.01	0.05	0.08	0.16	0.0	0.02	0.02	0.05	0.06	0.0	0.0	0.04	0.0	0.04	0.04	0.06	0.01	0.02	0.33	0.06	0.08	0.12	0.07	0.07	0.44	0.16	0.0	0.28	0.0
151	Fish	0.15	0.13	0.1	0.01	0.0	0.04	0.0	0.11	0.08	0.19	0.22	0.01	0.2	0.05	0.06	0.11	0.02	0.11	0.33	0.27	0.17	0.24	0.21	0.17	0.06	0.18	0.0	0.28	0.0
152	Fatty Fish	0.13	0.13	0.12	0.01	0.15	0.05	0.02	0.02	0.05	0.13	0.06	0.04	0.0	0.05	0.08	0.0	0.01	0.01	0.33	0.1	0.0	0.24	0.14	0.03	0.12	0.2	0.0	0.0	0.0
153	Lean Fish	0.04	0.05	0.02	0.03	0.07	0.05	0.06	0.02	0.0	0.0	0.03	0.0	0.0	0.01	0.02	0.01	0.0	0.01	0.0	0.1	0.0	0.12	0.14	0.02	0.15	0.04	0.0	0.17	0.0
154	Fish Oil	0.07	0.03	0.04	0.03	0.07	0.05	0.06	0.02	0.05	0.13	0.11	0.0	0.0	0.02	0.01	0.12	0.01	0.02	0.06	0.1	0.0	0.0	0.0	0.02	0.03	0.09	0.0	0.17	0.0
155	Smoked Fish	0.03	0.03	0.04	0.06	0.04	0.01	0.24	0.02	0.01	0.0	0.01	0.03	0.0	0.01	0.04	0.12	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.18	0.09	0.0	0.28	0.0
156	Salmon	0.0	0.03	0.0	0.06	0.04	0.01	0.0	0.02	0.01	0.0	0.02	0.03	0.0	0.01	0.04	0.12	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.28	0.0
157	Artichoke	0.26	0.03	0.25	0.13	0.15	0.04	0.16	0.1	0.11	0.06	0.22	0.04	0.0	0.26	0.25	0.07	0.14	0.07	0.22	0.16	0.0	0.06	0.36	0.19	0.12	0.22	0.0	0.28	0.0
158	Champaca	0.01	0.03	0.25	0.0	0.15	0.04	0.16	0.1	0.05	0.06	0.22	0.04	0.0	0.04	0.01	0.07	0.14	0.07	0.22	0.16	0.0	0.06	0.36	0.04	0.12	0.22	0.0	0.28	0.0
159	Jasmine	0.04	0.05	0.0	0.06	0.15	0.04	0.02	0.02	0.03	0.06	0.04	0.0	0.0	0.18	0.03	0.07	0.04	0.0	0.0	0.16	0.0	0.0	0.36	0.11	0.09	0.0	0.0	0.06	0.0
160	Lavendar	0.13	0.05	0.02	0.11	0.15	0.18	0.04	0.25	0.08	0.13	0.12	0.0	0.0	0.13	0.13	0.07	0.09	0.01	0.06	0.14	0.0	0.06	0.14	0.12	0.0	0.11	0.0	0.06	0.0
161	Rose	0.06	0.05	0.02	0.01	0.04	0.18	0.08	0.0	0.03	0.13	0.04	0.0	0.0	0.08	0.03	0.07	0.03	0.02	0.0	0.14	0.0	0.06	0.0	0.1	0.0	0.02	0.0	0.06	0.0
162	Apple	0.78	0.16	0.48	0.37	0.44	0.24	0.35	0.36	1.0	0.52	0.75	0.08	0.6	0.61	0.87	0.09	1.0	1.0	0.44	0.51	0.17	1.0	0.86	0.52	0.32	0.67	0.0	0.06	0.0
163	Apple Sauce	0.78	0.16	0.48	0.37	0.44	0.24	0.35	0.36	1.0	0.52	0.75	0.08	0.6	0.61	0.87	0.09	1.0	1.0	0.44	0.51	0.17	1.0	0.86	0.52	0.32	0.67	0.0	0.06	0.0
164	Apricot	0.57	0.05	0.33	0.29	0.15	0.33	0.29	0.33	0.59	0.42	0.51	0.07	0.6	0.47	0.62	0.09	0.72	0.64	0.33	0.3	0.0	0.29	0.5	0.43	0.21	0.47	0.0	0.0	0.0
165	Avocado	0.34	0.05	0.29	0.21	0.15	0.07	0.27	0.13	0.17	0.1	0.31	0.05	0.0	0.32	0.33	0.07	0.17	0.08	0.28	0.19	0.0	0.06	0.43	0.25	0.26	0.24	0.0	0.06	0.0
166	Babaco	0.04	0.05	0.29	0.0	0.15	0.07	0.27	0.02	0.09	0.1	0.06	0.05	0.0	0.05	0.02	0.07	0.04	0.07	0.28	0.0	0.0	0.0	0.43	0.04	0.03	0.0	0.0	0.06	0.0
167	Banana	0.5	0.16	0.31	0.23	0.15	0.14	0.24	0.38	0.63	0.29	0.56	0.08	0.2	0.4	0.53	0.07	0.63	0.67	0.33	0.4	0.25	0.53	0.5	0.27	0.12	0.49	0.0	0.0	0.0
168	Beli	0.0	0.16	0.31	0.0	0.15	0.14	0.24	0.38	0.02	0.29	0.02	0.08	0.2	0.0	0.0	0.07	0.01	0.01	0.33	0.4	0.25	0.53	0.5	0.27	0.0	0.49	0.0	0.0	0.0
169	Byrsonima crassifolia	0.0	0.16	0.31	0.0	0.15	0.14	0.24	0.38	0.02	0.29	0.01	0.08	0.2	0.0	0.0	0.07	0.01	0.01	0.33	0.4	0.25	0.53	0.5	0.27	0.0	0.49	0.0	0.0	0.0
170	Cashew Apple	0.02	0.0	0.0	0.0	0.15	0.14	0.24	0.0	0.03	0.29	0.02	0.08	0.2	0.0	0.01	0.07	0.03	0.04	0.33	0.4	0.25	0.0	0.0	0.27	0.0	0.49	0.0	0.0	0.0
171	Cherimoya	0.41	0.05	0.23	0.19	0.15	0.26	0.2	0.3	0.34	0.19	0.42	0.04	0.0	0.4	0.44	0.07	0.44	0.43	0.22	0.2	0.08	0.18	0.5	0.3	0.21	0.29	0.0	0.0	0.0
172	Coconut	0.46	0.08	0.46	0.2	0.33	0.13	0.22	0.21	0.19	0.68	0.32	0.19	0.2	0.34	0.43	0.09	0.25	0.23	0.33	0.29	0.0	0.12	0.57	0.34	0.12	0.33	0.0	0.0	0.0
173	Currant	0.13	0.03	0.02	0.1	0.04	0.11	0.0	0.1	0.12	0.13	0.09	0.19	0.0	0.13	0.11	0.09	0.09	0.15	0.11	0.1	0.0	0.0	0.14	0.12	0.12	0.07	0.0	0.0	0.0
174	Black Currant	0.53	0.08	0.31	0.57	0.26	0.43	0.43	0.52	0.43	0.29	0.5	0.04	0.6	0.55	0.52	0.14	0.42	0.4	0.33	0.37	0.17	0.18	0.57	0.55	0.26	0.4	0.0	0.0	0.0
175	Red Currant	0.38	0.08	0.25	0.27	0.22	0.16	0.2	0.2	0.22	0.19	0.29	0.04	0.2	0.37	0.36	0.07	0.2	0.21	0.33	0.23	0.0	0.12	0.57	0.28	0.12	0.27	0.0	0.0	0.0
176	White Currant	0.13	0.03	0.02	0.1	0.04	0.11	0.0	0.1	0.12	0.13	0.09	0.04	0.0	0.13	0.11	0.07	0.09	0.15	0.11	0.1	0.0	0.0	0.14	0.12	0.12	0.07	0.0	0.0	0.0
177	Dates	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.11	0.1	0.2	0.04	0.0	0.25	0.26	0.07	0.12	0.07	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.0	0.0	0.0
178	Durian	0.31	0.18	0.31	0.19	0.3	0.08	0.16	0.18	0.26	0.1	0.33	0.15	0.0	0.31	0.37	0.47	0.18	0.17	0.22	0.3	0.08	0.06	0.29	0.22	0.18	0.36	0.0	0.0	0.0
179	Elderberry	0.38	0.05	0.27	0.31	0.15	0.16	0.33	0.23	0.22	0.19	0.33	0.04	0.0	0.4	0.37	0.07	0.18	0.21	0.33	0.24	0.08	0.18	0.36	0.27	0.18	0.38	0.0	0.0	0.0
180	Feijoa	0.26	0.03	0.23	0.17	0.15	0.04	0.22	0.11	0.16	0.1	0.25	0.04	0.0	0.28	0.27	0.07	0.15	0.1	0.17	0.14	0.08	0.18	0.29	0.16	0.12	0.24	0.0	0.0	0.0
181	Fig	0.43	0.08	0.31	0.26	0.22	0.32	0.41	0.3	0.34	0.32	0.43	0.05	0.4	0.47	0.47	0.07	0.29	0.31	0.33	0.33	0.0	0.18	0.36	0.4	0.18	0.38	0.0	0.06	0.0
182	Grape	0.66	0.16	0.44	0.36	0.22	0.3	0.43	0.49	0.59	0.35	0.62	0.05	0.4	0.65	0.63	0.07	0.46	0.64	0.72	0.44	0.0	0.76	0.64	0.53	0.35	0.56	0.0	0.17	0.0
183	Guava	0.67	0.24	0.48	0.31	0.41	0.43	0.57	0.54	0.59	0.42	0.65	0.18	0.8	0.6	0.76	0.28	0.59	0.48	0.5	0.5	0.33	0.65	0.71	0.62	0.26	0.47	0.18	0.17	0.0
184	Hogplum	0.26	0.05	0.25	0.16	0.22	0.05	0.16	0.11	0.16	0.03	0.23	0.04	0.0	0.27	0.26	0.07	0.24	0.08	0.17	0.16	0.0	0.18	0.21	0.17	0.18	0.29	0.18	0.0	0.0
185	Jackfruit	0.28	0.05	0.25	0.13	0.15	0.04	0.16	0.11	0.16	0.1	0.25	0.04	0.0	0.25	0.27	0.09	0.19	0.13	0.28	0.16	0.0	0.12	0.5	0.15	0.12	0.27	0.18	0.0	0.0
186	Kiwifruit	0.35	0.05	0.31	0.2	0.15	0.11	0.2	0.16	0.3	0.1	0.33	0.07	0.2	0.34	0.39	0.09	0.22	0.25	0.17	0.33	0.08	0.18	0.36	0.24	0.15	0.33	0.18	0.0	0.0
187	Litchi	0.31	0.05	0.25	0.21	0.15	0.13	0.18	0.2	0.16	0.06	0.31	0.05	0.0	0.32	0.31	0.07	0.14	0.11	0.28	0.2	0.0	0.12	0.36	0.26	0.12	0.22	0.18	0.0	0.0
188	Loquat	0.36	0.05	0.27	0.2	0.15	0.13	0.22	0.15	0.2	0.16	0.29	0.05	0.0	0.33	0.32	0.1	0.22	0.18	0.33	0.26	0.0	0.06	0.5	0.24	0.21	0.33	0.18	0.0	0.0
189	Malay Apple	0.02	0.05	0.0	0.2	0.15	0.13	0.0	0.15	0.01	0.03	0.03	0.0	0.0	0.01	0.0	0.1	0.02	0.01	0.33	0.0	0.0	0.06	0.5	0.24	0.0	0.33	0.18	0.0	0.0
190	Mango	0.61	0.16	0.42	0.41	0.19	0.33	0.41	0.33	0.57	0.58	0.65	0.05	0.4	0.48	0.69	0.16	0.61	0.58	0.44	0.43	0.25	0.47	0.64	0.46	0.5	0.56	0.0	0.33	0.0
191	Melon	0.53	0.18	0.35	0.29	0.19	0.18	0.22	0.34	0.56	0.29	0.57	0.05	0.0	0.49	0.52	0.2	0.47	0.62	0.39	0.49	0.33	0.47	0.43	0.29	0.21	0.44	0.0	0.33	0.0
192	Musk Melon	0.33	0.05	0.23	0.13	0.19	0.08	0.27	0.13	0.22	0.03	0.39	0.04	0.0	0.37	0.31	0.07	0.32	0.17	0.28	0.2	0.0	0.53	0.36	0.24	0.15	0.29	0.0	0.33	0.0
193	Naranjilla	0.27	0.03	0.25	0.14	0.15	0.04	0.18	0.13	0.25	0.03	0.25	0.04	0.0	0.29	0.32	0.11	0.22	0.18	0.17	0.14	0.08	0.18	0.21	0.16	0.12	0.22	0.0	0.33	0.0
194	Orange	0.61	0.11	0.37	0.41	0.15	0.62	0.47	0.57	0.41	0.19	0.58	0.05	0.6	0.7	0.57	0.12	0.35	0.37	0.33	0.46	0.33	0.41	0.57	1.0	0.24	0.51	0.0	0.06	0.0
195	Bitter Orange	0.08	0.11	0.0	0.01	0.15	0.62	0.47	0.02	0.05	0.0	0.1	0.0	0.6	0.13	0.02	0.12	0.02	0.0	0.0	0.06	0.33	0.0	0.14	0.18	0.24	0.07	0.0	0.0	0.0
196	Papaya	0.63	0.13	0.46	0.4	0.33	0.31	0.39	0.49	0.56	0.39	0.45	0.11	0.8	0.57	0.62	0.09	0.38	0.58	0.39	0.4	0.08	0.24	1.0	0.47	0.21	0.53	0.0	0.0	0.0
197	Mountain Papaya	0.14	0.0	0.06	0.01	0.0	0.02	0.04	0.13	0.24	0.13	0.16	0.11	0.0	0.15	0.16	0.09	0.3	0.27	0.06	0.16	0.08	0.18	1.0	0.04	0.03	0.0	0.0	0.0	0.0
198	Passionfruit	0.55	0.11	0.35	0.29	0.15	0.22	0.35	0.46	0.73	0.35	0.67	0.05	0.0	0.6	0.66	0.1	0.63	0.73	0.44	0.46	0.08	0.71	0.57	0.39	0.26	0.51	0.0	0.06	0.0
199	Yellow Passionfruit	0.08	0.03	0.04	0.04	0.04	0.03	0.0	0.02	0.14	0.03	0.12	0.03	0.0	0.05	0.09	0.04	0.16	0.17	0.44	0.1	0.08	0.18	0.57	0.0	0.09	0.09	0.0	0.0	0.0
200	Pawpaw	0.06	0.03	0.0	0.04	0.0	0.03	0.0	0.03	0.13	0.0	0.06	0.03	0.0	0.04	0.08	0.04	0.05	0.18	0.44	0.04	0.08	0.0	0.57	0.02	0.09	0.02	0.0	0.0	0.0
201	Peach	0.52	0.11	0.33	0.3	0.19	0.2	0.24	0.34	0.51	0.45	0.52	0.08	0.4	0.47	0.61	0.1	0.48	0.52	0.39	0.33	0.0	0.35	0.64	0.33	0.26	0.42	0.0	0.0	0.0
202	Pear	0.36	0.05	0.29	0.21	0.22	0.12	0.2	0.21	0.3	0.06	0.37	0.05	0.0	0.34	0.41	0.07	0.3	0.26	0.28	0.23	0.0	0.18	0.43	0.26	0.15	0.4	0.0	0.0	0.0
203	Bartlett Pear	0.13	0.0	0.06	0.07	0.04	0.07	0.0	0.11	0.22	0.0	0.2	0.01	0.0	0.08	0.16	0.07	0.23	0.21	0.06	0.11	0.0	0.06	0.0	0.11	0.0	0.16	0.0	0.0	0.0
204	Prickly Pear	0.32	0.03	0.25	0.19	0.19	0.08	0.18	0.15	0.17	0.06	0.33	0.04	0.0	0.32	0.31	0.07	0.19	0.15	0.28	0.2	0.0	0.24	0.36	0.19	0.12	0.29	0.0	0.0	0.0
205	Pepino	0.02	0.03	0.0	0.0	0.19	0.0	0.18	0.0	0.03	0.06	0.05	0.04	0.0	0.01	0.0	0.07	0.0	0.0	0.28	0.03	0.0	0.24	0.36	0.01	0.12	0.0	0.0	0.0	0.0
206	Pineapple	0.55	0.16	0.37	0.27	0.22	0.16	0.29	0.18	0.7	0.26	0.42	0.08	0.4	0.45	0.67	0.19	0.51	0.63	0.33	0.4	0.17	0.59	0.71	0.34	0.32	0.49	0.0	0.0	0.0
207	Plum	0.49	0.08	0.33	0.23	0.15	0.18	0.22	0.23	0.53	0.29	0.52	0.05	0.2	0.4	0.54	0.07	0.67	0.51	0.39	0.33	0.0	0.35	0.5	0.28	0.21	0.29	0.0	0.0	0.0
208	Plumcot	0.07	0.08	0.0	0.04	0.15	0.01	0.0	0.05	0.1	0.0	0.12	0.05	0.2	0.02	0.07	0.07	0.11	0.12	0.0	0.04	0.0	0.0	0.5	0.06	0.06	0.29	0.0	0.0	0.0
